W,S, -318130_1, -318246_0,
E, W, -318142_0,  -318128_1,
E, N1, -318126#0_0, -318134_0,
E,N2, -318126#0_0, -318126#2_0,
E,S, -318142_0, -318246_0,
S, W, -318138#0_0, -318128_1,
S, E, -318138#0_0,  -318140_1, 
S, N1, -318138#0_0, -318134_0,
S, N2, -318138#0_0, -318126#2_0,
N1, W, --318134_0, -318132#1_0, 
N2,N1,--318126#2_0, -318134_0
N2, E, -318126#2_0, -318126#0_0

